Driver,Position,Lap Time,Lap #,LapTime in Seconds,Season
hamilton,2,01:19:00,1,79.399,2021
hamilton,2,01:15:00,2,75.395,2021
hamilton,2,01:15:00,3,75.045,2021
hamilton,2,01:14:00,4,74.825,2021
hamilton,2,01:15:00,5,75.102,2021
hamilton,2,01:15:00,6,75.118,2021
hamilton,2,01:15:00,7,75.43,2021
hamilton,2,01:15:00,8,75.358,2021
hamilton,2,01:14:00,9,74.75,2021
hamilton,2,01:15:00,10,75.126,2021
hamilton,2,01:15:00,11,75.182,2021
hamilton,2,01:15:00,12,75,2021
hamilton,2,01:15:00,13,75.109,2021
hamilton,2,01:15:00,14,75.526,2021
hamilton,2,01:15:00,15,75.139,2021
hamilton,2,01:15:00,16,75.161,2021
hamilton,2,01:15:00,17,75.418,2021
hamilton,2,01:15:00,18,75.476,2021
hamilton,2,01:15:00,19,75.619,2021
hamilton,2,01:19:00,20,79.092,2021
hamilton,3,01:32:00,21,92.549,2021
hamilton,3,01:13:00,22,73.757,2021
hamilton,3,01:14:00,23,74.234,2021
hamilton,3,01:14:00,24,74.238,2021
hamilton,3,01:14:00,25,74.418,2021
hamilton,3,01:14:00,26,74.92699999999999,2021
hamilton,3,01:14:00,27,74.787,2021
hamilton,3,01:14:00,28,74.574,2021
hamilton,3,01:16:00,29,76.203,2021
hamilton,3,01:14:00,30,74.526,2021
hamilton,2,01:16:00,31,76.033,2021
hamilton,2,01:15:00,32,75.003,2021
hamilton,2,01:14:00,33,74.728,2021
hamilton,2,01:14:00,34,74.57900000000001,2021
hamilton,2,01:14:00,35,74.809,2021
hamilton,2,01:14:00,36,74.721,2021
hamilton,2,01:14:00,37,74.516,2021
hamilton,2,01:14:00,38,74.788,2021
hamilton,2,01:17:00,39,77.127,2021
hamilton,2,01:32:00,40,92.263,2021
hamilton,2,01:13:00,41,73.292,2021
hamilton,2,01:13:00,42,73.428,2021
hamilton,2,01:13:00,43,73.806,2021
hamilton,2,01:13:00,44,73.678,2021
hamilton,2,01:14:00,45,74.505,2021
hamilton,2,01:14:00,46,74.185,2021
hamilton,2,01:14:00,47,74.123,2021
hamilton,2,01:13:00,48,73.619,2021
hamilton,2,01:13:00,49,73.124,2021
hamilton,2,01:13:00,50,73.475,2021
hamilton,2,01:13:00,51,73.324,2021
hamilton,2,01:13:00,53,73.511,2021
hamilton,2,01:13:00,54,73.524,2021
hamilton,2,01:13:00,55,73.68299999999999,2021
hamilton,2,01:15:00,56,75.27,2021
hamilton,2,01:13:00,57,73.783,2021
hamilton,2,01:13:00,58,73.45,2021
hamilton,2,01:13:00,59,73.525,2021
hamilton,2,01:14:00,60,74.547,2021
hamilton,2,01:13:00,61,73.674,2021
hamilton,2,01:14:00,62,74.462,2021
hamilton,2,01:13:00,63,73.83500000000001,2021
hamilton,2,01:13:00,64,73.711,2021
hamilton,2,01:13:00,65,73.705,2021
hamilton,2,01:13:00,66,73.841,2021
hamilton,2,01:13:00,67,73.662,2021
hamilton,2,01:13:00,68,73.509,2021
hamilton,2,01:14:00,69,74.884,2021
hamilton,2,01:13:00,70,73.981,2021
hamilton,2,01:16:00,71,76.33500000000001,2021
hamilton,2,01:32:00,72,92.729,2021
hamilton,2,01:11:00,73,71.097,2021
