Driver,Position,Lap Time,Lap #,LapTime in Seconds,Season
hamilton,2,01:39:00,7,99.225,2021
hamilton,2,01:34:00,8,94.591,2021
hamilton,2,01:31:00,9,91.302,2021
hamilton,2,01:30:00,10,90.1,2021
hamilton,2,01:28:00,11,88.724,2021
hamilton,2,01:28:00,12,88.592,2021
hamilton,2,01:28:00,13,88.25,2021
hamilton,2,01:28:00,14,88.029,2021
hamilton,2,01:27:00,15,87.072,2021
hamilton,2,01:26:00,16,86.578,2021
hamilton,2,01:27:00,17,87.501,2021
hamilton,2,01:26:00,18,86.64,2021
hamilton,2,01:27:00,19,87.021,2021
hamilton,2,01:26:00,20,86.959,2021
hamilton,2,01:28:00,21,88.283,2021
hamilton,2,01:29:00,22,89.277,2021
hamilton,2,01:28:00,23,88.42099999999999,2021
hamilton,2,01:28:00,24,88.139,2021
hamilton,2,01:28:00,25,88.842,2021
hamilton,2,01:27:00,26,87.07300000000001,2021
hamilton,1,01:26:00,27,86.959,2021
hamilton,1,01:30:00,28,90.425,2021
hamilton,2,01:23:00,30,83.138,2021
hamilton,8,01:28:00,35,88.464,2021
hamilton,8,01:23:00,36,83.218,2021
hamilton,8,01:20:00,37,80.97200000000001,2021
hamilton,7,01:21:00,38,81.444,2021
hamilton,6,01:19:00,39,79.479,2021
hamilton,6,01:19:00,40,79.303,2021
hamilton,6,01:19:00,41,79.206,2021
hamilton,5,01:18:00,42,78.332,2021
hamilton,5,01:18:00,43,78.648,2021
hamilton,5,01:18:00,44,78.615,2021
hamilton,5,01:18:00,45,78.71600000000001,2021
hamilton,5,01:18:00,46,78.406,2021
hamilton,5,01:18:00,47,78.538,2021
hamilton,5,01:18:00,48,78.868,2021
hamilton,5,01:19:00,49,79.154,2021
hamilton,4,01:17:00,50,77.858,2021
hamilton,4,01:18:00,51,78.512,2021
hamilton,4,01:19:00,52,79.001,2021
hamilton,4,01:18:00,53,78.805,2021
hamilton,4,01:19:00,54,79.206,2021
hamilton,3,01:17:00,55,77.95,2021
hamilton,3,01:18:00,56,78.505,2021
hamilton,3,01:18:00,58,78.622,2021
hamilton,3,01:18:00,59,78.957,2021
hamilton,3,01:18:00,60,78.53399999999999,2021
hamilton,2,01:16:00,61,76.702,2021
hamilton,2,01:18:00,62,78.824,2021
hamilton,2,01:18:00,63,78.787,2021
hamilton,2,01:18:00,64,78.038,2021
