Driver,Position,Lap Time,Lap #,LapTime in Seconds,Season
leclerc,5,01:22:00,1,82.599,2021
leclerc,5,01:17:00,2,77.90299999999999,2021
leclerc,5,01:17:00,3,77.062,2021
leclerc,5,01:16:00,4,76.97800000000001,2021
leclerc,5,01:16:00,5,76.581,2021
leclerc,5,01:16:00,6,76.59700000000001,2021
leclerc,5,01:16:00,7,76.596,2021
leclerc,5,01:16:00,8,76.565,2021
leclerc,5,01:16:00,9,76.327,2021
leclerc,5,01:16:00,10,76.71000000000001,2021
leclerc,5,01:16:00,11,76.196,2021
leclerc,5,01:16:00,12,76.33,2021
leclerc,5,01:16:00,13,76.318,2021
leclerc,5,01:16:00,14,76.273,2021
leclerc,5,01:16:00,15,76.547,2021
leclerc,5,01:16:00,16,76.276,2021
leclerc,5,01:16:00,17,76.416,2021
leclerc,5,01:16:00,18,76.331,2021
leclerc,5,01:16:00,19,76.343,2021
leclerc,5,01:16:00,20,76.238,2021
leclerc,5,01:16:00,21,76.207,2021
leclerc,5,01:16:00,22,76.322,2021
leclerc,5,01:16:00,23,76.04599999999999,2021
leclerc,4,01:16:00,24,76.812,2021
leclerc,4,01:15:00,25,75.931,2021
leclerc,4,01:16:00,26,76.249,2021
leclerc,4,01:16:00,27,76.244,2021
leclerc,4,01:16:00,28,76.321,2021
leclerc,4,01:16:00,29,76.396,2021
leclerc,4,01:16:00,30,76.703,2021
leclerc,4,01:16:00,31,76.666,2021
leclerc,4,01:17:00,32,77.418,2021
leclerc,4,01:17:00,33,77.745,2021
leclerc,4,01:20:00,34,80.851,2021
leclerc,5,01:34:00,35,94.78,2021
leclerc,5,01:15:00,36,75.463,2021
leclerc,5,01:15:00,37,75.203,2021
leclerc,5,01:15:00,38,75.342,2021
leclerc,5,01:15:00,39,75.117,2021
leclerc,5,01:15:00,40,75.325,2021
leclerc,5,01:15:00,41,75.166,2021
leclerc,5,01:15:00,42,75.466,2021
leclerc,5,01:15:00,43,75.336,2021
leclerc,5,01:15:00,44,75.095,2021
leclerc,5,01:15:00,45,75.253,2021
leclerc,5,01:15:00,46,75.235,2021
leclerc,5,01:15:00,47,75.394,2021
leclerc,5,01:15:00,48,75.004,2021
leclerc,5,01:15:00,49,75.318,2021
leclerc,5,01:15:00,50,75.093,2021
leclerc,5,01:15:00,51,75.029,2021
leclerc,5,01:14:00,53,74.821,2021
leclerc,5,01:15:00,54,75.82300000000001,2021
leclerc,5,01:15:00,55,75.27,2021
leclerc,5,01:14:00,56,74.837,2021
leclerc,5,01:14:00,57,74.86,2021
leclerc,5,01:14:00,58,74.852,2021
leclerc,5,01:14:00,59,74.78,2021
leclerc,5,01:14:00,60,74.9,2021
leclerc,5,01:14:00,61,74.787,2021
leclerc,5,01:14:00,62,74.904,2021
leclerc,5,01:14:00,63,74.837,2021
leclerc,5,01:16:00,64,76.832,2021
leclerc,5,01:17:00,65,77.754,2021
leclerc,5,01:16:00,66,76.05799999999999,2021
leclerc,5,01:15:00,67,75.852,2021
leclerc,5,01:15:00,68,75.432,2021
leclerc,5,01:15:00,69,75.458,2021
leclerc,5,01:15:00,70,75.269,2021
leclerc,5,01:16:00,71,76.589,2021
leclerc,5,01:16:00,72,76.544,2021
