Driver,Position,Lap Time,Lap #,LapTime in Seconds,Season
leclerc,2,01:37:00,1,97.088,2022
leclerc,2,01:34:00,2,94.943,2022
leclerc,2,01:34:00,3,94.794,2022
leclerc,2,01:34:00,4,94.651,2022
leclerc,2,01:35:00,5,95.156,2022
leclerc,2,01:34:00,6,94.585,2022
leclerc,2,01:34:00,7,94.702,2022
leclerc,2,01:34:00,8,94.569,2022
leclerc,2,01:34:00,9,94.967,2022
leclerc,2,01:34:00,10,94.679,2022
leclerc,2,01:34:00,11,94.781,2022
leclerc,2,01:34:00,12,94.915,2022
leclerc,2,01:34:00,13,94.777,2022
leclerc,2,01:35:00,14,95.214,2022
leclerc,1,01:35:00,15,95.237,2022
leclerc,1,01:34:00,21,94.636,2022
leclerc,1,01:34:00,22,94.075,2022
leclerc,1,01:33:00,23,93.459,2022
leclerc,1,01:33:00,24,93.521,2022
leclerc,1,01:33:00,25,93.324,2022
leclerc,1,01:33:00,26,93.182,2022
leclerc,1,01:33:00,27,93.184,2022
leclerc,1,01:32:00,28,92.711,2022
leclerc,1,01:32:00,29,92.942,2022
leclerc,1,01:32:00,30,92.752,2022
leclerc,1,01:33:00,31,93.079,2022
leclerc,1,01:32:00,32,92.683,2022
leclerc,1,01:32:00,33,92.878,2022
leclerc,1,01:32:00,34,92.68,2022
leclerc,1,01:32:00,35,92.481,2022
leclerc,1,01:32:00,36,92.64,2022
leclerc,1,01:33:00,37,93.102,2022
leclerc,1,01:36:00,41,96.117,2022
leclerc,2,01:33:00,42,93.281,2022
leclerc,1,01:33:00,43,93.818,2022
leclerc,1,01:32:00,44,92.17,2022
leclerc,1,01:32:00,45,92.259,2022
leclerc,2,01:33:00,46,93.47,2022
leclerc,2,01:32:00,47,92.587,2022
leclerc,2,01:31:00,48,91.634,2022
leclerc,2,01:32:00,49,92.102,2022
leclerc,2,01:31:00,50,91.703,2022
