Driver,Position,Points,Wins,Constructors
max_verstappen,1,454,15,red_bull
leclerc,2,308,3,ferrari
perez,3,305,2,red_bull
russell,4,275,1,mercedes
sainz,5,246,1,ferrari
hamilton,6,240,0,mercedes
norris,7,122,0,mclaren
ocon,8,92,0,alpine
alonso,9,81,0,alpine
bottas,10,49,0,alfa
ricciardo,11,37,0,mclaren
vettel,12,37,0,aston_martin
kevin_magnussen,13,25,0,haas
gasly,14,23,0,alphatauri
stroll,15,18,0,aston_martin
mick_schumacher,16,12,0,haas
tsunoda,17,12,0,alphatauri
zhou,18,6,0,alfa
albon,19,4,0,williams
latifi,20,2,0,williams
de_vries,21,2,0,williams
hulkenberg,22,0,0,aston_martin
