Driver,Position,Lap Time,Lap #,LapTime in Seconds,Season
max_verstappen,1,01:17:00,1,77.66499999999999,2021
max_verstappen,1,01:14:00,2,74.978,2021
max_verstappen,1,01:14:00,3,74.813,2021
max_verstappen,1,01:14:00,4,74.917,2021
max_verstappen,1,01:14:00,5,74.882,2021
max_verstappen,1,01:14:00,6,74.9,2021
max_verstappen,1,01:15:00,7,75.108,2021
max_verstappen,1,01:15:00,8,75.138,2021
max_verstappen,1,01:15:00,9,75.133,2021
max_verstappen,1,01:15:00,10,75.061,2021
max_verstappen,1,01:15:00,11,75.228,2021
max_verstappen,1,01:14:00,12,74.917,2021
max_verstappen,1,01:15:00,13,75.062,2021
max_verstappen,1,01:15:00,14,75.059,2021
max_verstappen,1,01:15:00,15,75.138,2021
max_verstappen,1,01:15:00,16,75.17699999999999,2021
max_verstappen,1,01:15:00,17,75.446,2021
max_verstappen,1,01:15:00,18,75.331,2021
max_verstappen,1,01:15:00,19,75.632,2021
max_verstappen,1,01:15:00,20,75.938,2021
max_verstappen,1,01:18:00,21,78.594,2021
max_verstappen,2,01:32:00,22,92.574,2021
max_verstappen,2,01:14:00,23,74.223,2021
max_verstappen,2,01:14:00,24,74.257,2021
max_verstappen,2,01:14:00,25,74.607,2021
max_verstappen,2,01:15:00,26,75.352,2021
max_verstappen,2,01:14:00,27,74.393,2021
max_verstappen,2,01:14:00,28,74.68299999999999,2021
max_verstappen,2,01:15:00,29,75.222,2021
max_verstappen,1,01:16:00,30,76.362,2021
max_verstappen,1,01:15:00,31,75.134,2021
max_verstappen,1,01:14:00,32,74.886,2021
max_verstappen,1,01:14:00,33,74.794,2021
max_verstappen,1,01:14:00,34,74.468,2021
max_verstappen,1,01:15:00,35,75.001,2021
max_verstappen,1,01:14:00,36,74.715,2021
max_verstappen,1,01:14:00,37,74.029,2021
max_verstappen,1,01:14:00,38,74.212,2021
max_verstappen,1,01:13:00,39,73.92099999999999,2021
max_verstappen,1,01:16:00,40,76.99,2021
max_verstappen,1,01:31:00,41,91.271,2021
max_verstappen,1,01:13:00,42,73.524,2021
max_verstappen,1,01:13:00,43,73.48,2021
max_verstappen,1,01:14:00,44,74.494,2021
max_verstappen,1,01:13:00,45,73.832,2021
max_verstappen,1,01:13:00,46,73.925,2021
max_verstappen,1,01:13:00,47,73.676,2021
max_verstappen,1,01:13:00,48,73.706,2021
max_verstappen,1,01:13:00,49,73.67,2021
max_verstappen,1,01:13:00,50,73.445,2021
max_verstappen,1,01:13:00,51,73.705,2021
max_verstappen,1,01:13:00,53,73.999,2021
max_verstappen,1,01:13:00,54,73.725,2021
max_verstappen,1,01:14:00,55,74.496,2021
max_verstappen,1,01:14:00,56,74.865,2021
max_verstappen,1,01:13:00,57,73.765,2021
max_verstappen,1,01:13:00,58,73.466,2021
max_verstappen,1,01:13:00,59,73.716,2021
max_verstappen,1,01:13:00,60,73.631,2021
max_verstappen,1,01:13:00,61,73.275,2021
max_verstappen,1,01:13:00,62,73.392,2021
max_verstappen,1,01:13:00,63,73.687,2021
max_verstappen,1,01:13:00,64,73.891,2021
max_verstappen,1,01:13:00,65,73.916,2021
max_verstappen,1,01:13:00,66,73.608,2021
max_verstappen,1,01:13:00,67,73.539,2021
max_verstappen,1,01:14:00,68,74.69800000000001,2021
max_verstappen,1,01:14:00,69,74.475,2021
max_verstappen,1,01:14:00,70,74.23,2021
max_verstappen,1,01:13:00,71,73.547,2021
max_verstappen,1,01:14:00,72,74.05,2021
max_verstappen,1,01:14:00,73,74.756,2021
