driver_id,position,time,lap,time_sec,season
hamilton,1,1:35.234,1,95.23400000000001,2021
hamilton,1,1:34.020,2,94.02000000000001,2021
hamilton,1,1:33.782,3,93.782,2021
hamilton,1,1:33.792,4,93.792,2021
hamilton,1,1:33.397,5,93.39699999999999,2021
hamilton,1,1:33.260,6,93.25999999999999,2021
hamilton,1,1:33.720,7,93.72,2021
hamilton,1,1:33.214,8,93.214,2021
hamilton,1,1:33.150,9,93.15,2021
hamilton,1,2:02.043,10,122.043,2021
hamilton,2,3:00.569,11,180.569,2021
hamilton,2,2:48.065,12,168.065,2021
hamilton,2,2:55.505,13,175.505,2021
hamilton,2,19:54.857,14,1194.857,2021
hamilton,3,3:34.902,15,214.902,2021
hamilton,2,21:37.704,16,1297.704,2021
hamilton,3,2:37.547,17,157.547,2021
hamilton,2,1:33.056,18,93.056,2021
hamilton,2,1:32.974,19,92.97399999999999,2021
hamilton,2,1:32.532,20,92.532,2021
hamilton,2,1:32.130,21,92.13,2021
hamilton,2,1:32.674,22,92.674,2021
hamilton,2,1:40.670,23,100.67,2021
hamilton,2,1:56.641,24,116.64099999999999,2021
hamilton,2,1:31.502,25,91.502,2021
hamilton,2,1:31.809,26,91.809,2021
hamilton,2,1:32.669,27,92.669,2021
hamilton,2,1:44.229,28,104.229,2021
hamilton,2,1:43.184,29,103.184,2021
hamilton,2,2:07.028,30,127.028,2021
hamilton,2,2:07.402,31,127.402,2021
hamilton,2,2:06.321,32,126.321,2021
hamilton,2,1:37.237,33,97.237,2021
hamilton,2,1:31.411,34,91.411,2021
hamilton,2,1:31.199,35,91.199,2021
hamilton,2,1:43.095,36,103.095,2021
hamilton,2,1:37.056,37,97.056,2021
hamilton,2,1:32.069,38,92.069,2021
hamilton,2,1:31.549,39,91.549,2021
hamilton,2,1:31.536,40,91.536,2021
hamilton,2,1:31.089,41,91.089,2021
hamilton,2,1:31.964,42,91.964,2021
hamilton,1,1:31.896,43,91.896,2021
hamilton,1,1:31.338,44,91.338,2021
hamilton,1,1:30.854,45,90.854,2021
hamilton,1,1:31.610,46,91.61,2021
hamilton,1,1:30.734,47,90.73400000000001,2021
hamilton,1,1:31.588,48,91.588,2021
hamilton,1,1:33.707,49,93.707,2021
hamilton,1,1:35.604,50,95.604,2021
