driver_id,position,time,lap,time_sec,season
leclerc,2,1:20.348,1,80.348,2022
leclerc,2,1:16.554,2,76.554,2022
leclerc,2,1:17.062,3,77.062,2022
leclerc,2,1:16.428,4,76.428,2022
leclerc,2,1:16.333,5,76.333,2022
leclerc,2,1:16.213,6,76.213,2022
leclerc,2,1:16.834,7,76.834,2022
leclerc,2,1:16.531,8,76.531,2022
leclerc,2,1:16.658,9,76.658,2022
leclerc,2,1:16.600,10,76.6,2022
leclerc,2,1:16.820,11,76.82,2022
leclerc,2,1:16.951,12,76.951,2022
leclerc,2,1:16.813,13,76.813,2022
leclerc,2,1:16.913,14,76.913,2022
leclerc,2,1:17.150,15,77.15,2022
leclerc,2,1:17.413,16,77.413,2022
leclerc,2,1:20.164,17,80.164,2022
leclerc,4,1:34.652,18,94.652,2022
leclerc,4,1:16.318,19,76.318,2022
leclerc,4,1:16.270,20,76.27,2022
leclerc,4,1:16.166,21,76.166,2022
leclerc,4,1:16.303,22,76.303,2022
leclerc,4,1:16.077,23,76.077,2022
leclerc,4,1:16.105,24,76.105,2022
leclerc,4,1:16.278,25,76.27799999999999,2022
leclerc,4,1:16.195,26,76.195,2022
leclerc,4,1:16.523,27,76.523,2022
leclerc,4,1:16.620,28,76.62,2022
leclerc,4,1:16.787,29,76.787,2022
leclerc,3,1:16.623,30,76.623,2022
leclerc,3,1:16.532,31,76.532,2022
leclerc,2,1:16.485,32,76.485,2022
leclerc,2,1:16.369,33,76.369,2022
leclerc,2,1:16.451,34,76.451,2022
leclerc,2,1:16.440,35,76.44,2022
leclerc,2,1:16.523,36,76.523,2022
leclerc,2,1:16.584,37,76.584,2022
leclerc,2,1:16.538,38,76.538,2022
leclerc,2,1:16.336,39,76.336,2022
leclerc,2,1:16.397,40,76.39699999999999,2022
leclerc,2,1:16.316,41,76.316,2022
leclerc,2,1:16.380,42,76.38,2022
leclerc,2,1:16.374,43,76.374,2022
leclerc,2,1:16.224,44,76.224,2022
leclerc,3,1:21.109,45,81.10900000000001,2022
leclerc,4,1:35.746,46,95.74600000000001,2022
leclerc,4,1:21.541,47,81.541,2022
leclerc,4,1:43.570,48,103.57,2022
leclerc,4,1:42.795,49,102.795,2022
leclerc,4,1:17.075,50,77.075,2022
leclerc,4,1:14.824,51,74.824,2022
leclerc,4,1:17.714,53,77.714,2022
leclerc,4,1:15.104,54,75.104,2022
leclerc,4,1:15.257,55,75.257,2022
leclerc,4,1:15.031,56,75.031,2022
leclerc,4,1:36.578,57,96.578,2022
leclerc,4,2:08.137,58,128.137,2022
leclerc,4,2:13.906,59,133.906,2022
leclerc,4,2:04.741,60,124.741,2022
leclerc,4,1:59.368,61,119.368,2022
leclerc,4,1:15.700,62,75.7,2022
leclerc,4,1:14.413,63,74.413,2022
leclerc,4,1:14.420,64,74.42,2022
leclerc,4,1:14.597,65,74.597,2022
leclerc,4,1:14.890,66,74.89,2022
leclerc,3,1:14.720,67,74.72,2022
leclerc,3,1:14.635,68,74.635,2022
leclerc,3,1:14.455,69,74.455,2022
leclerc,3,1:14.604,70,74.604,2022
leclerc,3,1:14.766,71,74.766,2022
leclerc,3,1:15.156,72,75.156,2022
leclerc,3,1:16.199,73,76.199,2022
